Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
KOTA SINGKAWANG,11122,11006,10982.05,10950,10886,10878,10871,10864
KALIMANTAN TENGAH,10492,10155,9809.46,9682,9641,9557,9472,9257
KOTAWARINGIN BARAT,12420,12101,11979.42,11908,11857,11807,11757,11707
KOTAWARINGIN TIMUR,11249,10922,10525.12,10430,10343,10170,9802,9623
KAPUAS,10421,10287,9893.99,9726,9633,9479,9388,9022
BARITO SELATAN,11031,10938,10569.66,10374,10283,10101,9927,9669
BARITO UTARA,9067,8774,8534.07,8326,7614,7564,7519,7333
SUKAMARA,8177,7792,7708.95,7568,7545,7522,7498,7293
LAMANDAU,10455,10049,9998.95,9925,9881,9837,9794,9750
SERUYAN,8658,8331,8026.14,7958,7919,7873,7832,7649
KATINGAN,10029,9969,9598.61,9542,9452,9357,9269,9040
PULANG PISAU,9365,9017,8638.59,8556,8537,8479,8461,8308
GUNUNG MAS,10276,10155,10044.12,9965,9823,9544,9281,8885
BARITO TIMUR,10808,10631,10570.01,10465,10450,10436,10422,10267
MURUNG RAYA,9872,9742,9328.45,9268,9245,9223,9200,8987
KOTA PALANGKA RAYA,13435,12899,12628.65,12521,12397,12311,12230,12009
KALIMANTAN SELATAN,11600,11307,10890.97,10748,10655,10553,10437,10304
TANAH LAUT,10925,10862,10753.29,10632,10562,10426,9896,9557
KOTA BARU,11065,10777,10645.09,10536,10465,10355,10231,10094
BANJAR,12366,12311,12185.03,12004,11984,11921,11844,11753
BARITO KUALA,9535,9226,9062.02,8936,8846,8758,8656,8540
TAPIN,11411,11237,10904.9,10839,10825,10752,10665,10563
HULU SUNGAI SELATAN,11890,11623,11161.29,11077,11006,10867,10696,10464
HULU SUNGAI TENGAH,11635,11527,11141.7,11040,10960,10802,10634,10456
HULU SUNGAI UTARA,9100,8668,8297.83,8164,8067,7986,7891,7782
TABALONG,10977,10620,10171.06,10088,9918,9781,9632,9469
TANAH BUMBU,11244,11006,10780.92,10697,10628,10619,10611,10602
BALANGAN,11186,10953,10736.08,10617,10586,10571,10556,10541
KOTA BANJARMASIN,13899,13417,12834.04,12501,12393,12336,12265,12179
KOTA BANJAR BARU,13279,12879,12466.7,12376,12273,12180,12074,11953
KALIMANTAN TIMUR,11612,11355,11228.81,11019,10981,10944,10927,10790
PASIR,10280,10171,9899.63,9706,9628,9150,9139,9004
KUTAI BARAT,9532,9492,9380.26,9262,9228,8801,8746,8632
KUTAI KARTANEGARA,10692,10593,10250.23,9984,9866,9281,9263,9063
KUTAI TIMUR,10273,9960,9703.59,9484,9297,9049,8801,8652
BERAU,11843,11675,11572.23,11471,11375,11188,11002,10913
MALINAU,-,-,-,-,-,-,-,-
BULUNGAN,-,-,-,-,-,-,-,-
NUNUKAN,-,-,-,-,-,-,-,-
